Playername,Runs,StrRate
Ayush Badoni,161,123.85
Ayush Badoni,238,138.37
Abhinav Manohar,108,144
Abhinav Manohar,114,137.35
Amit Mishra,39,76.47
Amit Mishra,68,138.78
Amit Mishra,89,92.71
Amit Mishra,49,94.23
Andre Russell,326,192.9
Andre Russell,188,164.91
Andre Russell,316,184.8
Andre Russell,510,204.82
Andre Russell,117,144.44
Andre Russell,183,152.5
Andre Russell,335,174.48
Andre Russell,227,145.51
Aiden Markram,146,122.69
Aiden Markram,381,139.05
Aiden Markram,248,125.89
Ajinkya Rahane,144,117.07
Ajinkya Rahane,120,122.45
Ajinkya Rahane,560,129.33
Ajinkya Rahane,488,106.55
Ajinkya Rahane,339,116.49
Ajinkya Rahane,540,130.75
Ajinkya Rahane,480,126.65
Ajinkya Rahane,382,118.27
Ajinkya Rahane,370,118.21
Ajinkya Rahane,393,137.89
Ajinkya Rahane,113,105.61
Ajinkya Rahane,133,103.91
Ajinkya Rahane,326,172.49
Axar Patel,62,103.33
Axar Patel,206,118.39
Axar Patel,111,144.16
Axar Patel,227,140.12
Axar Patel,80,115.94
Axar Patel,110,125
Axar Patel,117,137.65
Axar Patel,40,86.96
Axar Patel,182,151.67
Axar Patel,283,139.41
Abdul Samad,111,170.77
Abdul Samad,111,127.59
Abdul Samad,169,132.03
Abhishek Sharma,71,126.79
Abhishek Sharma,98,130.67
Abhishek Sharma,426,133.12
Abhishek Sharma,226,143.95
Devdutt Padikkal,473,124.8
Devdutt Padikkal,411,125.3
Devdutt Padikkal,376,122.88
Devdutt Padikkal,261,130.5
David Miller,98,130.67
David Miller,418,164.57
David Miller,446,149.16
David Miller,357,134.21
David Miller,161,122.9
David Miller,213,129.88
David Miller,124,109.73
David Miller,481,142.73
David Miller,259,145.51
David Warner,163,123.48
David Warner,282,147.64
David Warner,324,117.39
David Warner,256,164.1
David Warner,410,126.93
David Warner,528,140.8
David Warner,562,156.55
David Warner,848,151.43
David Warner,641,141.81
David Warner,692,143.87
David Warner,548,134.64
David Warner,195,107.73
David Warner,432,150.52
David Warner,516,131.63
Deepak Hooda,151,158.95
Deepak Hooda,144,119.01
Deepak Hooda,78,150
Deepak Hooda,87,107.41
Deepak Hooda,64,101.59
Deepak Hooda,160,130.08
Deepak Hooda,451,136.67
Deepak Hooda,84,93.33
Devon Conway,252,145.66
Devon Conway,672,139.71
Faf du Plessis,398,130.92
Faf du Plessis,303,128.94
Faf du Plessis,380,125
Faf du Plessis,206,127.16
Faf du Plessis,162,125.58
Faf du Plessis,396,123.36
Faf du Plessis,449,140.75
Faf du Plessis,633,138.21
Faf du Plessis,468,127.52
Faf du Plessis,730,153.68
Glenn Maxwell,552,187.76
Glenn Maxwell,145,129.46
Glenn Maxwell,179,144.35
Glenn Maxwell,310,173.18
Glenn Maxwell,169,140.83
Glenn Maxwell,108,101.89
Glenn Maxwell,513,144.1
Glenn Maxwell,301,169.1
Glenn Maxwell,400,183.49
Hardik Pandya,112,180.65
Hardik Pandya,44,69.84
Hardik Pandya,250,156.25
Hardik Pandya,260,133.33
Hardik Pandya,402,191.43
Hardik Pandya,281,178.98
Hardik Pandya,127,113.39
Hardik Pandya,487,131.27
Hardik Pandya,346,136.76
Ishan Kishan,277,134.47
Ishan Kishan,275,149.46
Ishan Kishan,101,101
Ishan Kishan,516,145.76
Ishan Kishan,241,133.89
Ishan Kishan,418,120.11
Ishan Kishan,454,142.77
Jos Buttler,255,138.59
Jos Buttler,272,153.67
Jos Buttler,548,155.24
Jos Buttler,311,151.71
Jos Buttler,328,144.49
Jos Buttler,254,153.01
Jos Buttler,863,149.05
Jos Buttler,392,139.01
Jonny Bairstow,445,157.24
Jonny Bairstow,345,126.84
Jonny Bairstow,248,141.71
Jonny Bairstow,253,144.57
Krishnappa Gowtham,126,196.88
Krishnappa Gowtham,61,164.86
Kagiso Rabada,56,114.29
Kagiso Rabada,48,111.63
Dinesh Karthik,145,135.51
Dinesh Karthik,288,132.72
Dinesh Karthik,278,117.3
Dinesh Karthik,282,128.18
Dinesh Karthik,238,111.74
Dinesh Karthik,510,124.09
Dinesh Karthik,325,125.97
Dinesh Karthik,141,120.51
Dinesh Karthik,335,125.94
Dinesh Karthik,361,139.38
Dinesh Karthik,498,147.77
Dinesh Karthik,253,146.24
Dinesh Karthik,169,126.12
Dinesh Karthik,223,131.18
Dinesh Karthik,330,183.33
Dinesh Karthik,140,134.62
KL Rahul,166,101.22
KL Rahul,142,112.7
KL Rahul,397,146.49
KL Rahul,659,158.41
KL Rahul,593,135.39
KL Rahul,670,129.34
KL Rahul,626,138.8
KL Rahul,616,135.38
KL Rahul,274,113.22
Kane Williamson,124,101.64
Kane Williamson,256,151.48
Kane Williamson,735,142.44
Kane Williamson,156,120
Kane Williamson,317,133.76
Kane Williamson,266,113.19
Kane Williamson,216,93.51
Kuldeep Yadav,48,92.31
Kuldeep Yadav,31,64.58
Liam Livingstone,437,182.08
Liam Livingstone,279,163.16
Lalit Yadav,161,110.27
Lalit Yadav,66,111.86
Mayank Agarwal,141,117.5
Mayank Agarwal,225,142.41
Mayank Agarwal,115,126.37
Mayank Agarwal,213,120.34
Mayank Agarwal,120,127.66
Mayank Agarwal,332,141.88
Mayank Agarwal,424,156.46
Mayank Agarwal,441,140.45
Mayank Agarwal,196,122.5
Mayank Agarwal,270,128.57
Manish Pandey,249,110.18
Manish Pandey,246,108.37
Manish Pandey,143,127.68
Manish Pandey,136,99.27
Manish Pandey,401,117.94
Manish Pandey,225,122.28
Manish Pandey,248,135.52
Manish Pandey,396,128.57
Manish Pandey,284,115.45
Manish Pandey,344,130.8
Manish Pandey,425,127.63
Manish Pandey,292,123.73
Manish Pandey,88,110
Manish Pandey,160,109.59
Moeen Ali,220,165.41
Moeen Ali,357,137.31
Moeen Ali,244,137.85
Moeen Ali,124,136.26
Marcus Stoinis,99,130.26
Marcus Stoinis,211,135.26
Marcus Stoinis,352,148.52
Marcus Stoinis,89,123.61
Marcus Stoinis,156,147.17
Marcus Stoinis,408,150
Mitchell Marsh,140,132.08
Mitchell Marsh,251,132.8
Mitchell Marsh,128,131.96
MS Dhoni,414,133.55
MS Dhoni,332,127.2
MS Dhoni,287,136.67
MS Dhoni,392,158.7
MS Dhoni,358,128.78
MS Dhoni,461,162.9
MS Dhoni,371,148.4
MS Dhoni,372,121.97
MS Dhoni,284,135.24
MS Dhoni,290,116
MS Dhoni,455,150.66
MS Dhoni,416,134.63
MS Dhoni,200,116.28
MS Dhoni,114,106.54
MS Dhoni,232,123.4
MS Dhoni,104,182.46
Nicholas Pooran,168,157.01
Nicholas Pooran,353,169.71
Nicholas Pooran,85,111.84
Nicholas Pooran,306,144.34
Nicholas Pooran,358,172.95
Pat Cummins,77,145.28
Pat Cummins,146,128.07
Piyush Chawla,90,152.54
Piyush Chawla,31,86.11
Piyush Chawla,62,103.33
Piyush Chawla,48,87.27
Piyush Chawla,106,120.45
Piyush Chawla,64,112.28
Piyush Chawla,54,114.89
Prithvi Shaw,245,153.12
Prithvi Shaw,353,133.71
Prithvi Shaw,228,136.53
Prithvi Shaw,479,159.14
Prithvi Shaw,283,152.97
Prithvi Shaw,106,124.71
Ravichandran Ashwin,30,75
Ravichandran Ashwin,52,162.5
Ravichandran Ashwin,41,107.89
Ravichandran Ashwin,102,143.66
Ravichandran Ashwin,42,150
Ravichandran Ashwin,191,141.48
Ravichandran Ashwin,67,131.37
Riyan Parag,86,111.69
Riyan Parag,93,112.05
Riyan Parag,183,138.64
Riyan Parag,78,118.18
Rahul Tewatia,255,139.34
Rahul Tewatia,155,105.44
Rahul Tewatia,217,147.62
Rahul Tewatia,87,152.63
Ravindra Jadeja,135,131.07
Ravindra Jadeja,295,110.9
Ravindra Jadeja,283,124.12
Ravindra Jadeja,191,126.49
Ravindra Jadeja,201,148.89
Ravindra Jadeja,146,132.73
Ravindra Jadeja,132,104.76
Ravindra Jadeja,191,107.91
Ravindra Jadeja,158,139.82
Ravindra Jadeja,89,120.27
Ravindra Jadeja,106,120.45
Ravindra Jadeja,232,171.85
Ravindra Jadeja,227,145.51
Ravindra Jadeja,116,118.37
Ravindra Jadeja,190,142.86
Rahul Tripathi,391,146.44
Rahul Tripathi,226,135.33
Rahul Tripathi,141,119.49
Rahul Tripathi,230,127.07
Rahul Tripathi,397,140.28
Rahul Tripathi,413,158.24
Rahul Tripathi,273,128.17
Ruturaj Gaikwad,204,120.71
Ruturaj Gaikwad,635,136.27
Ruturaj Gaikwad,368,126.46
Ruturaj Gaikwad,590,147.5
Rishabh Pant,198,130.26
Rishabh Pant,366,165.61
Rishabh Pant,684,173.6
Rishabh Pant,488,162.67
Rishabh Pant,343,113.95
Rishabh Pant,419,128.53
Rishabh Pant,340,151.79
Rashid Khan,59,190.32
Rashid Khan,34,147.83
Rashid Khan,35,116.67
Rashid Khan,83,120.29
Rashid Khan,91,206.82
Rashid Khan,130,216.67
Shikhar Dhawan,340,115.25
Shikhar Dhawan,191,112.35
Shikhar Dhawan,400,129.03
Shikhar Dhawan,569,129.61
Shikhar Dhawan,311,122.92
Shikhar Dhawan,377,118.18
Shikhar Dhawan,353,123.43
Shikhar Dhawan,501,116.78
Shikhar Dhawan,479,127.39
Shikhar Dhawan,497,136.91
Shikhar Dhawan,521,135.68
Shikhar Dhawan,618,144.73
Shikhar Dhawan,587,124.63
Shikhar Dhawan,460,122.67
Shikhar Dhawan,373,142.91
Shivam Dube,129,122.86
Shivam Dube,230,119.17
Shivam Dube,289,156.22
Shivam Dube,418,158.33
Sam Curran,95,172.73
Sam Curran,186,131.91
Sam Curran,276,135.96
Shardul Thakur,120,137.93
Shardul Thakur,113,161.43
Shimron Hetmyer,185,148
Shimron Hetmyer,242,168.06
Shimron Hetmyer,314,153.92
Shimron Hetmyer,299,151.78
Sunil Narine,21,110.53
Sunil Narine,224,172.31
Sunil Narine,357,189.89
Sunil Narine,143,166.28
Sunil Narine,121,142.35
Sunil Narine,62,131.91
Sunil Narine,71,177.5
Sunil Narine,21,84
Shreyas Iyer,439,128.36
Shreyas Iyer,30,69.77
Shreyas Iyer,338,139.09
Shreyas Iyer,411,132.58
Shreyas Iyer,463,119.95
Shreyas Iyer,519,123.28
Shreyas Iyer,175,102.34
Shreyas Iyer,401,134.56
Sanju Samson,206,115.73
Sanju Samson,339,124.18
Sanju Samson,204,125.15
Sanju Samson,291,112.36
Sanju Samson,386,141.39
Sanju Samson,441,137.81
Sanju Samson,342,148.7
Sanju Samson,375,158.9
Sanju Samson,484,136.72
Sanju Samson,458,146.79
Sanju Samson,362,153.39
Shahbaz Ahamad,59,111.32
Shahbaz Ahamad,219,120.99
Shahbaz Ahamad,42,107.69
Shubman Gill,203,146.04
Shubman Gill,296,124.37
Shubman Gill,440,117.96
Shubman Gill,478,118.91
Shubman Gill,483,132.33
Shubman Gill,890,157.8
Tim David,186,216.28
Tim David,231,158.22
Vijay Shankar,212,143.24
Vijay Shankar,244,126.42
Vijay Shankar,301,160.11
Wriddhiman Saha,159,133.61
Wriddhiman Saha,72,175.61
Wriddhiman Saha,67,126.42
Wriddhiman Saha,362,145.38
Wriddhiman Saha,249,126.4
Wriddhiman Saha,270,127.36
Wriddhiman Saha,234,125.13
Wriddhiman Saha,122,119.61
Wriddhiman Saha,131,93.57
Wriddhiman Saha,317,122.39
Wriddhiman Saha,371,129.27
Washington Sundar,111,116.84
Washington Sundar,101,146.38
Yashasvi Jaiswal,249,148.21
Yashasvi Jaiswal,258,132.99
Yashasvi Jaiswal,625,163.61
Rohit Sharma,404,147.99
Rohit Sharma,362,114.92
Rohit Sharma,404,133.77
Rohit Sharma,372,125.25
Rohit Sharma,433,126.61
Rohit Sharma,538,131.54
Rohit Sharma,390,129.14
Rohit Sharma,482,144.74
Rohit Sharma,489,132.88
Rohit Sharma,333,121.98
Rohit Sharma,286,133.02
Rohit Sharma,405,128.57
Rohit Sharma,332,127.69
Rohit Sharma,381,127.42
Rohit Sharma,268,120.18
Rohit Sharma,332,132.8
Virat Kohli,165,105.1
Virat Kohli,246,112.33
Virat Kohli,307,144.81
Virat Kohli,557,121.09
Virat Kohli,364,111.66
Virat Kohli,634,138.73
Virat Kohli,359,122.11
Virat Kohli,505,130.83
Virat Kohli,973,152.03
Virat Kohli,308,122.22
Virat Kohli,530,139.11
Virat Kohli,464,141.46
Virat Kohli,466,121.35
Virat Kohli,405,119.47
Virat Kohli,341,115.99
Virat Kohli,639,139.82
